weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.005,1,4,8,8,0.0003,0.25,256,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.26342663245586107,0.22713404691933048,0.47658582324627585,0.93892361579295,1374978,21,0.2209936033797587,0.2585498127815246,152.4367983341217,23
0.005,4,4,2,8,0.0003,0.25,512,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2616823591435215,0.22846423679391964,0.4779793267432386,0.938565927507329,1638146,21,0.21923644492629007,0.281903873131361,153.06765794754028,131
0.005,2,3,8,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.28924831348561475,0.22911627547976307,0.47866091910637854,0.938390594192775,621122,25,0.9281380869048772,0.2330227375354699,140.23189973831177,42
0.005,2,3,4,8,0.0003,0.25,512,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.26939522974203156,0.22917386134970935,0.4787210684205463,0.9383751093424612,1241730,21,0.2058237103308726,0.27403170350723843,127.39573407173157,121
0.005,2,3,8,8,0.0003,0.25,512,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2552669965712897,0.23169637214505365,0.48134849344840963,0.937696805756572,422978,24,0.8458757150811377,0.2702786229092513,131.23872876167297,27
0.005,1,4,2,4,0.0003,0.25,1024,96,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2666416043815806,0.23412629648028618,0.48386599020832843,0.9370433986857006,1426242,25,1.2009048129898992,0.2709073381547363,172.6559293270111,64
0.005,4,2,2,8,0.0003,0.25,256,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2973323047906719,0.23489910331300332,0.48466390758236094,0.9368355907957209,423810,23,0.7008092838163646,0.23909824925173698,143.38147139549255,47
0.005,2,4,4,8,0.0003,0.25,1024,160,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2649282988874718,0.23680623683187166,0.48662741068693577,0.9363227622651136,3034818,27,1.604559598856525,0.239969257092619,226.22380018234253,18
0.005,3,3,8,8,0.0003,0.25,256,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2669469207027579,0.2389434543687841,0.48881842678931825,0.9357480641025573,323906,23,0.751918109506835,0.2647652071363391,125.07168292999268,66
0.005,1,4,2,8,0.0003,0.25,512,96,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2802686158781291,0.2394442151677215,0.4893303742541653,0.9356134094377611,1030978,24,1.091475443545155,0.26144059497726113,164.71239161491394,50
0.005,4,4,4,4,0.0003,0.25,256,96,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.3071292429176024,0.24034917423973137,0.4902541934953044,0.9353700657879499,833346,23,0.8538753565731052,0.2438077480886453,151.37445998191833,38
0.005,4,4,8,4,0.0003,0.25,256,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.28308647975985124,0.2411675217610017,0.4910880997957512,0.9351500119990006,1374978,22,0.6559570543928677,0.2521481272484339,151.58065390586853,63
0.005,1,2,8,4,0.0003,0.25,1024,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.27761105443227585,0.2416475887949539,0.4915766357293173,0.9350209218911613,422146,23,0.7105345442019028,0.2556160247569592,100.90643429756165,128
0.005,4,4,4,4,0.0003,0.25,256,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.29235456567041335,0.2423652106801623,0.4923060132480227,0.9348279532430398,423810,23,0.7241180822035145,0.24992991070034623,143.08603405952454,5
0.005,3,3,8,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.26359730919453317,0.24260355734581537,0.4925480254206846,0.9347638617837304,621122,29,1.4716836283443138,0.2752605638637949,160.90997004508972,46
0.005,1,2,8,4,0.0003,0.25,512,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.3103714269488401,0.24299354189303815,0.49294375124656786,0.9346589948720364,290050,23,0.703973423262522,0.24818880027250875,101.16383910179138,20
0.005,2,4,4,4,0.0003,0.25,1024,96,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2869299035789103,0.24364975894081956,0.49360891294710185,0.9344825379952401,1426242,31,2.133078750752317,0.24376206838561465,211.95564341545105,102
0.005,4,2,8,8,0.0003,0.25,256,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.26557241863611486,0.24380984245503023,0.4937710425440421,0.9344394915107884,423810,24,0.892862845417305,0.265600910171341,155.23644089698792,82
0.005,3,3,8,4,0.0003,0.25,256,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.3157513890371497,0.2448131525620863,0.49478596641586986,0.9341697012507701,323906,25,0.9530540494202986,0.24836915508080315,133.17143487930298,52
0.005,1,2,4,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2833827208800818,0.24526627210552204,0.49524364923290237,0.9340478573277565,422146,21,0.13557261574985266,0.2769712429988322,91.93474674224854,103
0.005,2,4,8,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.29202956833858645,0.2455211717138171,0.4955009300837054,0.9339793147793293,820098,34,2.084640191909685,0.2503122965587947,227.71207761764526,57
0.005,3,4,2,4,0.0003,0.25,512,64,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2655356825458114,0.2469005998196759,0.496890933525332,0.9336083863248674,555906,30,1.7711420011574455,0.28069081782389205,179.879821062088,123
0.005,3,2,2,4,0.0003,0.25,256,96,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2952532007054154,0.2479834229016685,0.4979793398341627,0.9333172150122393,634466,24,0.978217592601222,0.26971459238491646,132.6789653301239,117
