weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.005,4,4,2,8,0.0003,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29208501217759647,0.2866808938917961,0.5354258995340028,0.9229114584200819,2164482,26,1.1895320345423375,0.31635723808879523,247.32902026176453,128
0.001,4,4,4,8,0.0005,0.4,2048,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29392633260532774,0.2876837299330543,0.5363615664205017,0.9226417956364381,5614210,25,,,391.6939945220947,67
0.005,4,4,4,8,0.0005,0.5,1024,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.295592377057714,0.28817166846951564,0.536816233425849,0.9225105888802227,3034818,24,,,320.183571100235,10
0.001,4,3,2,8,0.0003,0.5,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2849285068742244,0.28872110809204965,0.537327747368447,0.9223628444714052,2164482,44,2.1596424386334165,0.29761316020150697,394.7739932537079,69
0.01,2,3,2,8,0.001,0.4,512,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3002586033853122,0.28959419257870234,0.5381395660780782,0.9221280719030682,1800098,21,,,214.56691598892212,58
0.001,3,3,2,8,0.001,0.4,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3060108456150178,0.2912814094474374,0.5397049281296562,0.9216743789974331,2293154,23,,,352.50734090805054,1
0.01,4,2,2,8,0.0003,0.4,2048,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2841791886783416,0.29330165064494595,0.5415733104990921,0.9211311357926231,5614210,32,,,403.34656143188477,61
0.005,4,2,4,8,0.0005,0.5,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2998063585768941,0.29334419906660036,0.5416125913109853,0.9211196945147362,1638146,27,,,303.16548371315,126
0.001,3,3,4,8,0.0005,0.4,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2819289532357691,0.29338601857949353,0.5416511964165625,0.9211084492405404,1241730,27,,,257.00834608078003,30
0.001,4,3,4,8,0.001,0.4,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30007720424819506,0.2952066674265961,0.5433292440377162,0.920618876453017,1638146,21,,,191.7567322254181,5
0.005,2,2,4,8,0.0003,0.4,1024,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29538651750786177,0.2962779799427994,0.5443142290467882,0.9203308003335056,1551490,23,,,188.37419319152832,60
0.001,2,3,4,8,0.0003,0.4,512,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30096919375503767,0.29672554775441684,0.5447252038912986,0.9202104492721309,2457794,21,,,189.31237530708313,22
0.01,3,3,4,8,0.0005,0.4,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3281184015540659,0.29775904073777154,0.5456730163181716,0.9199325428314946,3279266,22,,,260.97390246391296,20
0.005,4,3,4,8,0.0005,0.4,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3067478253210029,0.29791422996491995,0.5458151976309563,0.9198908124216743,4349634,23,,,339.7151381969452,120
0.001,3,4,2,8,0.0003,0.4,1024,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3265063264124258,0.3030230213179372,0.5504752685797403,0.918517057549859,6438402,21,,,313.33617401123047,119
0.005,2,2,4,8,0.0003,0.5,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3039016894673103,0.3043909824838498,0.5517163967871989,0.9181492125575172,1551490,48,2.7826905858780884,0.3159917818632505,288.1744341850281,135
0.001,2,2,4,8,0.0005,0.4,2048,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.31440435224375773,0.3055376119671033,0.5527545675678341,0.9178408836926368,1634818,22,,,143.6249442100525,123
0.01,4,4,4,8,0.0003,0.5,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.299108545865408,0.3072142372365546,0.5542691018237934,0.9173900388698674,2164482,31,1.6766229108156236,0.32167636803215105,291.3300609588623,111
0.001,4,4,4,8,0.001,0.5,512,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3008303738524166,0.3105860957365011,0.5573025172529738,0.9164833455404094,3248770,21,,,235.2885549068451,142
0.01,3,4,2,8,0.0003,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.293759347838852,0.31073645787913806,0.5574374026553457,0.9164429131344428,2164482,34,2.323608939227697,0.31911549269705897,401.3171856403351,77
0.01,4,3,4,8,0.0005,0.5,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.300667067712342,0.31173344897197697,0.5583309493230488,0.9161748220584323,1638146,29,,,257.8550159931183,84
