weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.0001,1,3,4,4,0.0003,0.2,256,160,32,ReduceLROnPlateau,0.05,0.31920768421040946,0.26439985450360043,0.5141982638084267,0.9285434551325331,11,3.7107593683648297,0.2646392100274651,172.5461540222168,10
0.0001,1,3,2,8,0.0005,0.15,256,160,32,ReduceLROnPlateau,0.15,0.321321776240976,0.2703391720800023,0.5199415083256984,0.9269382987542245,11,4.679329669918017,0.27129861311863235,177.16160011291504,1
1e-05,1,3,4,8,0.0005,0.4,384,128,128,OneCycleLR,0.05,0.2852751722203092,0.274994424795351,0.5243991083090731,0.9256801729691395,18,2.93471807967082,0.283995316555088,257.0130100250244,12
5e-05,1,3,4,4,0.0003,0.3,256,128,64,ReduceLROnPlateau,0.05,0.3051574682658717,0.3003883056939105,0.5480769158557132,0.9188172380662676,14,3.6533602706022013,0.3047864921996301,181.00462889671326,7
1e-06,1,3,4,8,0.001,0.2,192,96,32,OneCycleLR,0.15,0.35136790851517913,0.3086261412146357,0.5555413046881714,0.9165908856176148,10,4.497989141198909,0.30904803583549784,112.10416507720947,2
0.0001,1,3,4,4,0.0003,0.3,256,160,64,ReduceLROnPlateau,0.15,0.3168997210870597,0.31065107566779676,0.5573608128203819,0.9160436280562306,10,2.8915037752476778,0.32989965757820067,163.21154308319092,8
1e-05,1,3,2,8,0.0005,0.3,512,96,32,ReduceLROnPlateau,0.05,0.3734923361836764,0.31300252217452573,0.5594662833223516,0.9154081275446021,11,2.8950627942932776,0.31300287597992926,154.2671902179718,5
1e-06,1,3,4,4,0.001,0.2,192,192,128,OneCycleLR,0.15,0.30098823690658744,0.31685260165209916,0.5628966171972427,0.914367607392089,14,4.25404990183491,0.3207031587025968,256.89028096199036,3
5e-05,1,3,4,4,0.0003,0.4,512,128,64,ReduceLROnPlateau,0.1,0.30814236647273624,0.3170845940352861,0.5631026496432832,0.9143049092708316,11,2.0787198945966066,0.3434293153895233,161.86437511444092,11
5e-05,1,3,2,4,0.001,0.3,512,192,128,ReduceLROnPlateau,0.1,0.3192783720434108,0.3184031384725729,0.5642722201850565,0.9139485602481756,20,3.4786891221152887,0.3185098769041425,454.71202993392944,6
0.0001,1,3,4,4,0.0005,0.4,384,96,128,OneCycleLR,0.15,0.30950520725079445,0.3231929598447355,0.5685006243134088,0.9126540660192372,24,3.2317870110532043,0.3238602511287616,284.6786079406738,9
5e-05,1,3,2,4,0.0003,0.4,512,192,64,OneCycleLR,0.1,0.3207321408443714,0.3337481467191869,0.5777093964262542,0.9098014275943984,11,3.3962034148079945,0.3489180906088349,238.95046281814575,4
