weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.005,3,3,2,8,0.0005,0.4,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.1,0.2,0.05,"(0.5, 2.0)","(0.8, 1.2)",0.2823101050644912,0.2680960344394109,0.517779909265907,0.9279089303171554,16,5.16518495151039,0.2740779760369817,208.10139346122742,30
0.001,3,3,2,8,0.001,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.4,0.2,0.01,"(0.5, 2.0)","(0.8, 1.2)",0.3226563751698211,0.26857813366167493,0.5182452447072476,0.9277792937535301,18,4.702022401366523,0.26858406305503146,110.38407301902771,203
0.005,3,3,2,8,0.0005,0.3,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.8,0.1,"(0.9, 1.1)","(0.7, 1.3)",0.28947169019450664,0.26876956565352317,0.5184299042816909,0.9277278176580603,16,3.4977019910548024,0.3143125782067491,98.1158173084259,72
0.0001,3,3,2,8,0.0005,0.3,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.1,0.2,0.01,"(0.5, 2.0)","(0.9, 1.1)",0.3901684388749955,0.26922672607803405,0.5188706255686807,0.927604887141432,16,4.615093145175344,0.26966868162110436,136.21263766288757,89
0.0001,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.01,"(0.9, 1.1)","(0.8, 1.2)",0.2742811402569833,0.27004280485007565,0.519656429624493,0.9273854434195398,25,9.843711284550846,0.2708206343789433,225.68893599510193,111
0.01,3,3,2,8,0.0005,0.2,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.25,0.5,0.05,"(0.8, 1.2)","(0.7, 1.3)",0.28446251647054743,0.2701977491321152,0.5198054916332793,0.9273437788755011,22,6.969276893208649,0.2708215566680383,263.4709405899048,69
0.005,3,3,2,8,0.0005,0.3,1024,128,64,ReduceLROnPlateau,0.1,1.0,0.1,0.8,0.1,"(0.5, 2.0)","(0.8, 1.2)",0.3439051539118095,0.2704012762856873,0.5200012271963281,0.9272890503889676,17,4.920650043808609,0.271616248463386,174.06319284439087,201
0.0001,3,3,2,8,0.001,0.2,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.1,0.2,0.1,"(0.9, 1.1)","(0.7, 1.3)",0.27804786389478153,0.2709230975472948,0.5205027353888688,0.9271487325621441,19,,0.2710400060143403,282.61950159072876,196
0.0001,3,3,2,8,0.001,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.8,0.05,"(0.9, 1.1)","(0.8, 1.2)",0.2769537717408689,0.27104880775183177,0.5206234798314726,0.9271149290665643,18,,0.2720105877292845,143.0048222541809,92
0.0001,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.01,"(0.5, 2.0)","(0.7, 1.3)",0.28946765559299137,0.27155504747871506,0.5211094390612351,0.926978801117103,23,7.037148899610692,0.2754724608213045,145.2841920852661,105
0.01,3,3,2,8,0.001,0.3,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.1,0.8,0.1,"(0.9, 1.1)","(0.8, 1.2)",0.2818780005212485,0.2724373629943803,0.5219553266270787,0.9267415463234799,19,5.3873533966815605,0.2805868271517512,121.93015193939209,49
0.01,3,3,2,8,0.0005,0.5,1024,128,32,ReduceLROnPlateau,0.1,0.8,0.25,0.8,0.05,"(0.5, 2.0)","(0.9, 1.1)",0.32475691190896316,0.27298634611000483,0.5224809528681451,0.9265939246694486,18,2.970864590712534,0.2736569223261738,233.3622636795044,241
0.01,3,3,2,8,0.0005,0.4,1024,128,32,ReduceLROnPlateau,0.1,0.5,0.25,0.8,0.05,"(0.5, 2.0)","(0.8, 1.2)",0.29140318009111993,0.2733706421189343,0.5228485843137899,0.9264905874066781,19,3.433368127878463,0.27824775070197943,206.57198023796082,106
0.0001,3,3,2,8,0.001,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.4,0.8,0.01,"(0.8, 1.2)","(0.7, 1.3)",0.2804995923566353,0.2736619941560132,0.5231271300133584,0.9264122427938933,22,5.58728349808538,0.27536060301236254,136.62408995628357,87
0.005,3,3,2,8,0.001,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.4,0.2,0.05,"(0.9, 1.1)","(0.8, 1.2)",0.28393247742469113,0.2741657340440437,0.5236083785082547,0.9262767870515286,17,,0.28980881325252195,162.78791499137878,156
0.001,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.4,0.5,0.01,"(0.9, 1.1)","(0.9, 1.1)",0.30704929386601354,0.2749545481558219,0.5243610856612282,0.9260646748014615,22,5.768954916287118,0.2763500974744849,135.37976169586182,51
0.0001,3,3,2,8,0.001,0.3,1024,128,64,ReduceLROnPlateau,0.1,1.0,0.25,0.2,0.01,"(0.9, 1.1)","(0.9, 1.1)",0.2970716290052726,0.2754299448456666,0.524814200308706,0.9259368405499544,17,,0.2757429523679965,171.74445223808289,60
0.0001,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,1.0,0.1,0.5,0.1,"(0.9, 1.1)","(0.9, 1.1)",0.28098878251598547,0.2758901345227751,0.5252524483738987,0.9258130954667825,20,8.507158453228875,0.2765329617283126,206.6358768939972,226
0.005,3,3,2,8,0.0005,0.2,1024,128,32,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.01,"(0.9, 1.1)","(0.9, 1.1)",0.3331394539614279,0.2765935664874757,0.5259216353103148,0.9256239424907216,16,8.685894503989768,0.277506119663431,167.8144495487213,44
0.005,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.01,"(0.5, 2.0)","(0.9, 1.1)",0.32024114250758945,0.2766435578972539,0.5259691605952329,0.9256104997920505,16,5.880093319017876,0.28617917571918283,128.40785884857178,140
0.0001,3,3,2,8,0.0005,0.3,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.05,"(0.5, 2.0)","(0.9, 1.1)",0.2865224780647359,0.2778016833961017,0.5270689550676474,0.9252990796466034,18,3.5734446163539153,0.28719401415116075,133.0363166332245,167
0.01,3,3,2,8,0.0005,0.3,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.1,0.8,0.1,"(0.8, 1.2)","(0.8, 1.2)",0.3006793911867318,0.2785064382414636,0.5277370919704845,0.9251095709477054,16,5.619767048542466,0.29122211580560875,150.20572137832642,247
0.005,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.4,0.8,0.01,"(0.8, 1.2)","(0.9, 1.1)",0.3245890083340264,0.2802665208487303,0.529402040842997,0.9246362844324709,16,4.030378516789638,0.28904083431974353,125.99404048919678,215
0.01,3,3,2,8,0.001,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.8,0.01,"(0.5, 2.0)","(0.9, 1.1)",0.28090972089872535,0.2803362499366227,0.5294678932065878,0.9246175342687667,19,5.586440399430792,0.2883773914513871,119.75215554237366,200
0.01,3,3,2,8,0.001,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.4,0.2,0.05,"(0.5, 2.0)","(0.9, 1.1)",0.3020885120463926,0.28038439504995566,0.5295133568192172,0.9246045880395268,17,,0.2859205581946473,132.70383024215698,81
0.0001,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.1,0.2,0.1,"(0.5, 2.0)","(0.7, 1.3)",0.27444604961510355,0.28076620621156273,0.5298737644114518,0.9245019189526279,23,10.970372254304253,0.2907018735046259,176.8144655227661,220
0.01,3,3,2,8,0.0005,0.3,1024,128,32,ReduceLROnPlateau,0.1,0.8,0.1,0.8,0.01,"(0.5, 2.0)","(0.9, 1.1)",0.29893256688149283,0.2808756614430268,0.5299770385998122,0.9244724864220979,17,,0.2891057897132765,191.73370265960693,41
0.01,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.4,0.2,0.01,"(0.9, 1.1)","(0.9, 1.1)",0.287082020792649,0.28142621054094485,0.5304961927676247,0.924324443675159,25,8.472565497532777,0.28192011870594735,235.64497542381287,235
0.005,3,3,2,8,0.001,0.3,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.4,0.2,0.01,"(0.5, 2.0)","(0.9, 1.1)",0.2814826537048065,0.28150318936452584,0.5305687414129538,0.9243037440562837,19,3.8809423981334294,0.29421206704226993,123.34285593032837,164
0.001,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.4,0.5,0.05,"(0.8, 1.2)","(0.9, 1.1)",0.29880283366189536,0.2821135083932139,0.5311435854768595,0.9241396291647004,35,9.078336012033583,0.2821060144053933,294.34391474723816,48
0.001,3,3,2,8,0.0005,0.3,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.4,0.8,0.05,"(0.9, 1.1)","(0.8, 1.2)",0.30290086547890643,0.2824735625852718,0.5314824198271019,0.9240428105306482,19,3.1601484853853616,0.2982896456320261,119.99113535881042,139
0.005,3,3,2,8,0.0005,0.3,1024,128,32,ReduceLROnPlateau,0.1,0.5,0.4,0.8,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30172527633981877,0.2825065801873288,0.5315134807202249,0.9240339320917872,19,3.319199188326933,0.28328959636351086,224.13478636741638,3
0.01,3,3,2,8,0.001,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.01,"(0.5, 2.0)","(0.7, 1.3)",0.2944604047627844,0.28261537435779466,0.531615814623488,0.9240046773206729,20,3.737477872028553,0.28849734495947976,125.1357250213623,161
0.01,3,3,2,8,0.001,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.9, 1.1)","(0.9, 1.1)",0.2816553925426044,0.28294046536308043,0.5319214842089764,0.9239172602935456,20,5.501203196319075,0.29480545660711416,134.78294038772583,21
0.01,3,3,2,8,0.0005,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.4,0.8,0.01,"(0.9, 1.1)","(0.7, 1.3)",0.30089656073429577,0.2829505792437358,0.5319309910540424,0.9239145406693012,21,2.8509543090738156,0.28397265564697804,155.59707951545715,125
0.01,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.4,0.5,0.05,"(0.8, 1.2)","(0.8, 1.2)",0.28455277542690544,0.28295533524411154,0.5319354615403183,0.9239132617799838,38,6.229223233007361,0.2845637716660353,296.14158511161804,153
0.01,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.8, 1.2)","(0.8, 1.2)",0.2811277384097113,0.28307982163892365,0.5320524613597081,0.9238797873670491,27,5.914923087399021,0.29062000640150265,171.90174269676208,242
0.01,3,3,2,8,0.0005,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.4,0.2,0.05,"(0.8, 1.2)","(0.8, 1.2)",0.2877267908605971,0.2831863015482982,0.5321525171868476,0.9238511549011397,17,2.687684082694351,0.3179412153504079,120.16345500946045,212
0.005,3,3,2,8,0.0005,0.3,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.8,0.05,"(0.5, 2.0)","(0.8, 1.2)",0.33085639857246474,0.28333583803898005,0.5322930001784544,0.9238109445131255,17,5.028637194555108,0.2838863316887049,136.48957443237305,79
0.005,3,3,2,8,0.0005,0.3,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.25,0.8,0.01,"(0.5, 2.0)","(0.8, 1.2)",0.3295418532227808,0.2843291733502258,0.5332252557317834,0.9235438364774129,18,4.0901287857592585,0.2845978490835012,148.27731728553772,158
