weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
1e-05,1,3,4,4,0.001,0.3,256,128,64,ReduceLROnPlateau,0.1,0.27534884180519753,0.2462530081248952,0.49623886196558126,0.9359415229637166,14,3.642693155534849,0.268322182895562,144.86060333251953,8
1e-05,2,2,2,6,0.002,0.4,256,96,16,ReduceLROnPlateau,0.1,0.3185668484000588,0.33116758585714584,0.5754716203751022,0.9138524586752176,12,3.89439372105634,0.3370303101286473,87.50933122634888,7
0.0005,3,2,2,6,0.002,0.2,512,96,16,ReduceLROnPlateau,0.1,0.36930315461058355,0.3504576226657756,0.5919946137134827,0.9088344879736863,9,2.7706830220716765,0.35045846995978147,70.17039084434509,1
1e-05,2,3,4,6,0.001,0.4,512,96,16,ReduceLROnPlateau,0.05,0.33616333533101045,0.37236213407261803,0.6102148261658495,0.9031364067537624,10,2.498038480772892,0.38084964248406866,95.17869901657104,3
0.0005,3,3,6,2,0.001,0.2,512,192,16,OneCycleLR,0.05,0.4413612877749166,0.436403786935351,0.6606086488499457,0.8864770742221073,8,1.2121161022770783,0.43640377914055345,133.30432796478271,5
0.001,2,1,6,2,0.0005,0.5,256,96,64,OneCycleLR,0.2,0.38047013466103125,0.46678785177647436,0.683218743724493,0.8785731832819937,12,4.850382694175983,0.5529494240812177,37.18842911720276,2
0.001,3,1,2,4,0.001,0.4,128,96,64,ReduceLROnPlateau,0.05,0.4273845098724586,0.5720769576180669,0.7563576915838609,0.8511840365662562,9,4.584480411812313,0.6305428070888172,29.765029191970825,6
0.0005,1,3,4,2,0.002,0.4,128,96,32,ReduceLROnPlateau,0.05,0.4404436881999642,0.5881059736450998,0.7668806775797,0.847014364232503,9,4.146695490336182,0.5965299722095542,60.9201443195343,4
