iteration,n_categories,n_features,rmse,mae,r2,total_params,training_time,epochs_trained,toggle_EMG_BW,toggle_EMG_HjComp,toggle_EMG_HjMob,toggle_EMG_IEMG,toggle_EMG_Kurt,toggle_EMG_LogDet,toggle_EMG_MAV,toggle_EMG_MDF,toggle_EMG_MNF,toggle_EMG_Myopulse,toggle_EMG_PeakFreq,toggle_EMG_Power,toggle_EMG_RMS,toggle_EMG_SSC,toggle_EMG_Skew,toggle_EMG_SpecEntropy,toggle_EMG_VAR,toggle_EMG_WAMP,toggle_EMG_WL,toggle_EMG_ZC,toggle_IMU_DomFreq,toggle_IMU_Jerk,toggle_IMU_Kurt,toggle_IMU_MNF,toggle_IMU_Max,toggle_IMU_Mean,toggle_IMU_P2P,toggle_IMU_SMA,toggle_IMU_SVM_Mean,toggle_IMU_Skew,toggle_IMU_SpecEnergy,toggle_IMU_Std,toggle_IMU_Var
81,15,136,0.5384125790628034,0.31561077883828426,0.9220490387237237,1353474,139.9028344154358,21,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1
143,16,144,0.5386739330023452,0.3712409044591807,0.9219733431094319,1354498,207.14515018463135,29,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0
76,18,164,0.5390470228409955,0.3116113335316343,0.9218652219166881,1357058,184.59408974647522,26,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0
121,15,144,0.5405577789946999,0.2955669115447989,0.9214266404668162,1354498,156.98691034317017,23,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
11,14,132,0.5415929708078013,0.2937645358019365,0.9211254094603513,1352962,258.4323823451996,36,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
108,10,96,0.5417600690285121,0.3195001539541024,0.921076731439631,1348354,147.5002636909485,22,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0
65,20,184,0.5423983158800313,0.2870943610451763,0.9208906630951471,1359618,205.19230937957764,29,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0
53,14,128,0.5441552275103884,0.30935644688844594,0.920377338433365,1352450,181.75801706314087,28,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
18,11,100,0.5459439519190606,0.2999585888848122,0.9198530134816211,1348866,155.24016904830933,22,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
127,18,172,0.5483145102408001,0.32169251783812575,0.9191554854942076,1358082,159.77127385139465,22,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1
34,18,160,0.5490210034101923,0.29661562001880676,0.9189470179350437,1356546,162.2225639820099,25,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1
12,17,168,0.5491138585560617,0.3086432862281576,0.9189195988641059,1357570,220.10904669761658,31,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1
125,16,156,0.5500513241043397,0.2984862419204075,0.9186425161971944,1356034,150.68032264709473,22,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1
50,21,196,0.5518340518370611,0.3161033251914241,0.9181142990209145,1361154,190.0126805305481,29,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1
20,15,148,0.5534008002873588,0.3247225620004014,0.9176486647633691,1355010,169.43972945213318,23,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1
132,19,184,0.554261392523604,0.316448947779415,0.9173923368892152,1359618,160.65001249313354,22,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
78,13,108,0.5566595959008738,0.3636601507497836,0.9166759291618756,1349890,149.5194001197815,21,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0
64,19,168,0.5569215977349639,0.32462150855683247,0.9165974747630499,1357570,163.5620355606079,23,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0
4,16,140,0.5572427036178713,0.3114106738796515,0.9165012717706617,1353986,157.04929161071777,21,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
138,17,152,0.5582196849154873,0.3212366335316877,0.9162082281572834,1355522,220.7314887046814,33,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1
88,15,144,0.5586893377010146,0.3502759850546103,0.916067174035527,1354498,159.60610461235046,24,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0
1,14,120,0.5594591917767288,0.3086488365042236,0.9158357017553592,1351426,259.7020845413208,23,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0
120,13,112,0.560415031666292,0.3058367032192072,0.9155478655115111,1350402,188.21855664253235,28,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0
63,16,140,0.5610455982557221,0.37768481544874166,0.9153577112480447,1353986,160.28946375846863,23,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1
24,17,164,0.5620863310849047,0.36627500955117703,0.9150433991426895,1357058,152.23906254768372,21,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1
8,19,184,0.5621040526884395,0.2937643816720161,0.9150380419907762,1359618,267.7089352607727,37,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1
147,13,112,0.5627190649632485,0.32227087845973,0.9148520222234771,1350402,150.67218708992004,21,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
126,17,160,0.5636753382204001,0.38034603790173116,0.9145623788654136,1356546,161.87661957740784,23,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1
29,17,164,0.5692629775300337,0.3439721714656546,0.9128601195939579,1357058,160.92871570587158,22,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
97,16,148,0.5692646870929412,0.3136797808236027,0.9128595962107875,1355010,189.46495699882507,28,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1
3,17,156,0.5694082542347843,0.3376285158217356,0.9128156374810327,1356034,172.86494421958923,23,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0
5,15,148,0.5790951624062777,0.3769954970790505,0.9098240028375082,1355010,192.93591141700745,26,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0
30,13,124,0.580380028671124,0.3396771126964981,0.9094234032787396,1351938,165.68582272529602,23,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
122,13,132,0.5845560484746457,0.34741106020563634,0.9081152587648171,1352962,150.34927701950073,22,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1
130,15,132,0.586342835798017,0.4178685848522437,0.9075526800011757,1352962,158.92588925361633,22,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1
54,14,140,0.5894621230767287,0.3301444112988271,0.9065664419807433,1353986,161.05767345428467,23,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1
21,14,128,0.5916133907541826,0.3661617471963525,0.9058832178491815,1352450,202.4017186164856,29,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1
145,15,132,0.5975147803504721,0.32269225170089394,0.9039962085772613,1352962,151.8885178565979,21,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
46,15,156,0.6099401681667516,0.3432879022391148,0.8999618734857727,1356034,243.80619621276855,37,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
19,11,108,0.6101282578647661,0.3565303591673122,0.8999001656554226,1349890,165.2732002735138,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0
41,16,140,0.6121613796440359,0.3853409345807523,0.89923193160458,1353986,144.99182605743408,22,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0
118,17,176,0.6152707876346618,0.34689365603823413,0.8982056506005426,1358594,198.67058396339417,29,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
99,15,136,0.6634027304399639,0.4124544010406272,0.8816561786078296,1353474,176.40909099578857,26,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
110,16,156,0.6683768853124243,0.5281281586293877,0.8798748553190459,1356034,149.55958080291748,21,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1
70,10,100,0.7477833894046565,0.455519429244632,0.8496364026901033,1348866,142.45144128799438,21,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
38,16,148,1.0631286923348313,0.6627002092339014,0.6960775664119181,1355010,175.7912986278534,27,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0
144,11,104,1.2099678212141547,0.6562327752132123,0.6063241983623242,1349378,163.92889714241028,24,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
71,14,124,2.212951163744626,1.368535122994722,-0.3168452428620603,1351938,138.29127597808838,20,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
136,15,128,2.2690405885825013,1.4082605142331022,-0.3844446861126336,1352450,137.81660318374634,20,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0
107,14,112,2.340760675732743,1.3285355467830895,-0.4733472100576257,1350402,137.190913438797,20,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
