iteration,rmse,mae,r2,total_params,training_time,epochs_trained,weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type
93,0.5402746460910312,0.31361457508831475,0.9215089290883844,1043074,109.88717913627625,21,0.005,1,2,8,8,0.0003,0.25,256,160,64,ReduceLROnPlateau
12,0.5415522148420017,0.3453486847186661,0.9211372799584367,2362050,174.07677721977234,21,0.005,3,4,4,8,0.0003,0.25,512,160,64,ReduceLROnPlateau
147,0.543307727407784,0.3102863135619532,0.9206251635448964,1032066,127.6408965587616,23,0.005,3,3,4,4,0.0003,0.25,256,128,64,ReduceLROnPlateau
132,0.5441634283558248,0.3742634326538598,0.920374938463547,1043074,100.83991885185242,23,0.005,1,2,2,8,0.0003,0.25,256,160,64,ReduceLROnPlateau
85,0.5451458279364831,0.3043803049422974,0.9200871784522177,1021762,213.66090655326843,31,0.005,4,3,2,8,0.0003,0.25,512,96,64,ReduceLROnPlateau
110,0.5470275931720853,0.3121167072055041,0.9195345310615122,833026,120.1052975654602,26,0.005,1,2,4,4,0.0003,0.25,512,128,64,ReduceLROnPlateau
63,0.5471079247562352,0.30061300531319224,0.9195108964467815,1362690,190.57234859466553,29,0.005,4,4,8,4,0.0003,0.25,256,128,64,ReduceLROnPlateau
88,0.5473858553126844,0.3196158301343796,0.919429098825517,283906,121.69194793701172,27,0.005,1,2,4,8,0.0003,0.25,512,64,64,ReduceLROnPlateau
98,0.547957913957157,0.4178989477312306,0.9192606057435044,2152194,174.25063014030457,22,0.005,3,4,4,8,0.0003,0.25,1024,128,64,ReduceLROnPlateau
106,0.5505685212565916,0.30236939781761135,0.9184894481492445,1784738,152.56953954696655,24,0.005,1,3,8,8,0.0003,0.25,512,160,64,ReduceLROnPlateau
84,0.5510679090150711,0.3321542681547277,0.918341514401083,833026,98.3017508983612,21,0.005,2,2,8,4,0.0003,0.25,512,128,64,ReduceLROnPlateau
27,0.5511861329941049,0.31000502404782415,0.9183064732509947,416834,143.61335825920105,23,0.005,2,3,8,8,0.0003,0.25,512,64,64,ReduceLROnPlateau
62,0.5538571148902084,0.3029566044923693,0.9175128008123161,1624194,210.89419031143188,37,0.005,3,2,8,4,0.0003,0.25,1024,128,64,ReduceLROnPlateau
67,0.5538859349487444,0.311604187837375,0.9175042161153018,3019458,222.49678087234497,27,0.005,4,3,8,8,0.0003,0.25,1024,160,64,ReduceLROnPlateau
64,0.5556067236872072,0.3154420535597623,0.9169908312427377,1417026,155.5091187953949,23,0.005,1,4,2,4,0.0003,0.25,1024,96,64,ReduceLROnPlateau
40,0.5557275092397078,0.2993506644740925,0.9169547359339052,1625858,193.0234043598175,28,0.005,2,4,4,4,0.0003,0.25,512,128,64,ReduceLROnPlateau
1,0.5562313187636129,0.3042820039241724,0.9168040939038403,614978,265.4680836200714,28,0.005,3,3,4,8,0.0003,0.25,1024,64,64,ReduceLROnPlateau
81,0.556348826608724,0.30074904831110405,0.9167689387302257,2152194,223.74905037879944,29,0.005,2,4,4,8,0.0003,0.25,1024,128,64,ReduceLROnPlateau
3,0.5563892157722661,0.3221305386248783,0.9167568536684566,2152194,208.3078932762146,25,0.005,4,4,4,8,0.0003,0.25,1024,128,64,ReduceLROnPlateau
56,0.5588205261427848,0.2941586590882472,0.9160277520931968,3019458,213.97994470596313,27,0.005,4,4,8,4,0.0003,0.25,1024,160,64,ReduceLROnPlateau
123,0.5589482289994451,0.2975979149380038,0.915989368674141,549762,213.17053508758545,37,0.005,3,4,2,4,0.0003,0.25,512,64,64,ReduceLROnPlateau
75,0.5597318065411481,0.303943995677611,0.9157536581643794,1538210,140.58637976646423,25,0.005,3,2,2,4,0.0003,0.25,256,160,64,ReduceLROnPlateau
111,0.5603575634703475,0.3009389298569414,0.9155651850432694,701442,170.21476411819458,44,0.005,1,2,2,4,0.0003,0.25,256,128,64,ReduceLROnPlateau
83,0.5606350711150866,0.3577859515515558,0.915481534495332,2362050,170.17050909996033,21,0.005,3,4,8,8,0.0003,0.25,512,160,64,ReduceLROnPlateau
20,0.5630736641598373,0.30908215517301985,0.9147446758774018,283906,209.6740403175354,48,0.005,1,2,8,4,0.0003,0.25,512,64,64,ReduceLROnPlateau
7,0.5631766984252485,0.34542040500675303,0.9147134720618283,1624194,206.58511781692505,32,0.005,2,3,4,4,0.0003,0.25,1024,128,64,ReduceLROnPlateau
122,0.5639726922528068,0.3300577559211786,0.9144722137635821,1229442,159.23491215705872,29,0.005,2,3,2,8,0.0003,0.25,512,128,64,ReduceLROnPlateau
70,0.5648047987894689,0.30886571797274687,0.9142196457470293,2277794,184.68084335327148,27,0.005,1,3,2,4,0.0003,0.25,1024,160,64,ReduceLROnPlateau
121,0.5657095023428068,0.3030701660855498,0.9139446199473518,1229442,170.4448516368866,29,0.005,2,3,4,8,0.0003,0.25,512,128,64,ReduceLROnPlateau
10,0.5672807195965124,0.35253081114742757,0.9134659309109784,1096194,122.60296058654785,23,0.005,2,2,4,8,0.0003,0.25,1024,128,64,ReduceLROnPlateau
130,0.567707818168113,0.33085591453829166,0.9133355810194652,1229442,133.13327956199646,23,0.005,3,2,2,4,0.0003,0.25,512,128,64,ReduceLROnPlateau
72,0.5680841187643854,0.30385366851678547,0.9132206533057587,1362690,202.03804206848145,29,0.005,3,4,2,4,0.0003,0.25,256,128,64,ReduceLROnPlateau
95,0.568165877794911,0.31163276469814805,0.913195672829878,2362050,211.81217455863953,27,0.005,3,4,4,4,0.0003,0.25,512,160,64,ReduceLROnPlateau
148,0.56871533889844,0.33096593679596137,0.9130276984197193,1784738,136.8684422969818,22,0.005,3,3,2,8,0.0003,0.25,512,160,64,ReduceLROnPlateau
101,0.5697712721678847,0.33281117649974445,0.9127044358056813,2277794,155.51912117004395,23,0.005,3,3,2,4,0.0003,0.25,1024,160,64,ReduceLROnPlateau
124,0.5698233363801465,0.3001809148441019,0.9126884813949915,3019458,286.44639587402344,39,0.005,4,3,8,4,0.0003,0.25,1024,160,64,ReduceLROnPlateau
