weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
1e-05,1,3,4,4,0.001,0.3,256,128,64,ReduceLROnPlateau,0.1,0.32698370941745314,0.3294847250236332,0.5740076001444869,0.9142902259247618,16,6.248692097525312,0.3426295337076433,167.5614709854126,8
0.0005,3,2,2,6,0.002,0.2,512,96,16,ReduceLROnPlateau,0.1,0.3117571284644057,0.3319961318068067,0.5761910549520938,0.9136369267225564,20,10.870525852698043,0.33236375182007805,162.8629310131073,1
1e-05,2,3,4,6,0.001,0.4,512,96,16,ReduceLROnPlateau,0.05,0.38114062376283053,0.4007816082824933,0.6330731460759438,0.8957435702157689,13,5.56279338065363,0.4010908143405487,148.82158994674683,3
0.0005,1,3,4,2,0.002,0.4,128,96,32,ReduceLROnPlateau,0.05,0.395726199623723,0.4471222202208251,0.6686719825301678,0.8836888584853304,15,5.00783509018035,0.4483869807492258,106.76715612411499,4
0.0005,3,3,6,2,0.001,0.2,512,192,16,OneCycleLR,0.05,0.4186361798544348,0.4670694470194451,0.6834247925115426,0.8784999311315217,12,1.5465738306054684,0.4713645727459867,226.11331486701965,5
1e-05,2,2,2,6,0.002,0.4,256,96,16,ReduceLROnPlateau,0.1,0.4347249945755794,0.513867619846948,0.7168456039112941,0.866326192819703,7,2.6113319610401047,0.5194502535134085,52.743139028549194,7
0.001,2,1,6,2,0.0005,0.5,256,96,64,OneCycleLR,0.2,0.40906574412601493,0.5165064511712937,0.7186838325517652,0.8656397463186821,15,5.575085769665712,0.5626729901806538,57.203044176101685,2
0.001,3,1,2,4,0.001,0.4,128,96,64,ReduceLROnPlateau,0.05,0.4493376664467981,0.585315829735055,0.765059363536618,0.8477401720955235,10,3.9298290183040905,0.5930179214170019,34.42774295806885,6
