weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
1e-05,3,1,4,4,0.0003,0.25,256,104,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.30386353975453384,0.24304807100258613,0.49299905781105313,0.9320144837078488,727626,17,2.198922072669352,0.2538617177786331,4449.95530796051,9
1e-05,3,2,8,8,0.0005,0.2,192,120,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.29107899852355507,0.2483235098681788,0.4983206897853819,0.9305388355635721,886298,22,6.186001324595626,0.26192140057795366,2186.5143089294434,3
5e-05,1,3,4,8,0.002,0.1,192,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2888540291031022,0.2716146795651992,0.521166652391727,0.9240238190470115,995010,25,7.252453868466335,0.2719619435961969,623.0090680122375,2
0.0005,3,4,2,2,0.0005,0.1,128,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.3257389409743463,0.27767893327145765,0.5269524962190213,0.9223275232589154,1243394,12,3.9755979031321025,0.285157074755673,333.9409399032593,1
1e-06,3,3,4,4,0.0005,0.15,128,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.3608366817195491,0.28271113088806066,0.5317058687733855,0.9209199146667647,945666,11,2.4520269678056734,0.28834123731918104,676.8073770999908,11
0.001,3,4,8,2,0.0001,0.2,384,80,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.3577771465224108,0.28461513621011897,0.5334933328637941,0.9203873254373618,694498,13,1.3459065277874642,0.2914340980631913,620.1613528728485,10
1e-06,3,2,7,7,0.0005,0.3,192,140,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.35448352762971347,0.2952534874817432,0.5433723285940711,0.9174115610105339,1169718,11,2.7435703359090406,0.30354845618230725,970.2238647937775,8
0.001,3,2,2,8,0.002,0.1,512,120,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.34716556669686266,0.30099061572483116,0.5486261165172791,0.9158067689048748,1117658,25,1.6007897381979064,0.3020015108998904,1607.2766292095184,5
1e-06,2,2,2,4,0.0003,0.2,128,120,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.3584524420368995,0.30941218369244355,0.5562483111816552,0.913451084105955,576258,23,4.739558672359672,0.3190308451472724,656.3109879493713,6
0.001,3,2,4,4,0.001,0.3,384,80,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.31383765319758417,0.31111652224027364,0.5577782016539133,0.9129743457568997,528594,24,6.011295490254439,0.31259239241368453,632.8078427314758,12
1e-06,2,4,2,8,0.002,0.25,192,104,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.315418809079544,0.3256119129959773,0.5706241433693262,0.9089196885019878,902866,19,5.2325717902035445,0.32663931651532563,3397.7517869472504,7
0.0005,1,2,4,2,0.0005,0.4,192,80,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.33627446509998843,0.34246683685701756,0.5852066616649348,0.9042050215802102,300866,14,3.9561126686137955,0.4087200219634791,546.2425231933594,4
