config_key,name,n_features,rmse,mae,r2,total_params,training_time,epochs_trained
no_freq,Config 3: No Frequency Domain,220,0.5349980951417701,0.3033520971639954,0.9215635164912374,922490,273.2994930744171,10
no_skew_kurt,Config 2: No Skewness & Kurtosis,264,0.5607628538182959,0.29811840459965505,0.9138268203290808,927770,518.5638399124146,20
emg_only,Config 6: EMG Only,160,0.5796060964012848,0.32243637867006286,0.9079381849131524,563930,108.33711004257202,9
minimal_cheap,Config 5: Minimal Cheap (Ultra Real-Time),108,0.5909194836177166,0.32413042853427126,0.9043091829408413,909050,353.70573902130127,12
pure_time,Config 4: Pure Time Domain,180,0.5990042207901317,0.3265680632962201,0.9016728596549085,917690,428.7054030895233,17
baseline,Config 1: All Features (Baseline),304,0.6546533841883789,0.3599944283986841,0.8825544737829102,932570,303.56915378570557,14
imu_only,Config 7: IMU Only,144,1.3774797385616582,0.7921565512991383,0.4800230616220872,737210,449.0100290775299,23
