weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.005,3,3,4,8,0.0003,0.25,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.28084556527123894,0.2455504401724521,0.49553046341516893,0.933971444485778,1636482,22,0.7578106255476077,0.2745071851426913,140.6421136856079,92
1e-05,3,3,4,8,0.0005,0.25,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.1,0.5,0.1,"(0.5, 2.0)","(0.75, 1.25)",0.317884817463714,0.2465697267492333,0.4965578785491509,0.9336973581503081,1636482,22,0.5475947946522121,0.2478126019647447,111.62638473510742,28
0.005,3,3,4,8,0.0003,0.35,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.1,0.5,0.05,"(0.5, 2.0)","(0.9, 1.1)",0.26237953432362643,0.24705522391583082,0.4970465007580587,0.9335668078788683,1636482,27,1.649576039934194,0.29693774919138083,173.73510217666626,64
1e-05,3,3,4,8,0.0003,0.25,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.05,"(0.5, 2.0)","(0.9, 1.1)",0.28788638921922655,0.24814766024519608,0.4981442163120998,0.9332730515623713,1636482,22,0.6495576423423939,0.2672085409359385,147.87982511520386,30
1e-05,3,3,4,4,0.0005,0.25,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.75, 1.25)",0.28442020154793574,0.24833740838671267,0.49833463494594943,0.9332220282545448,1636482,22,0.6226754153925967,0.27051064506765604,136.6572082042694,110
0.001,3,3,4,8,0.0003,0.25,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.05,"(0.5, 2.0)","(0.9, 1.1)",0.2940587286133674,0.25121409913524084,0.5012126286669569,0.9324484856184452,1636482,22,0.5492533579515755,0.2637284488430483,107.18565940856934,98
0.001,3,3,4,8,0.0005,0.25,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.2903255828184936,0.2544012949838064,0.5043820922513075,0.9315914481076433,1636482,23,0.8371981170634926,0.26069502867842115,116.14134049415588,32
0.005,3,3,4,8,0.0003,0.25,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.05,"(0.5, 2.0)","(0.9, 1.1)",0.29391934564334055,0.2564197210223952,0.5063790290112686,0.9310486929993783,1636482,21,0.15885859223642143,0.27360997713112956,102.42924308776855,106
0.005,3,3,4,4,0.0005,0.25,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.1,0.5,0.05,"(0.5, 2.0)","(0.75, 1.25)",0.3318582792225876,0.25677587046855777,0.5067305698974138,0.9309529243521676,1636482,22,0.7504519089007374,0.2585237110524095,140.91524600982666,26
0.001,3,3,4,8,0.0005,0.25,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.1,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2796705590934232,0.25746225429792846,0.5074073849461874,0.9307683556226233,1636482,22,0.6939000024038212,0.3001830698781146,106.63519716262817,135
