weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
1e-06,2,2,4,8,0.0003,0.15,1024,64,128,OneCycleLR,0.3,0.3043269834070951,0.23393665519080037,0.4836699858279407,0.9368768802818985,32,5.092201506262849,0.23396156711735647,133.11415576934814,7
0.0001,3,4,4,2,0.001,0.15,128,96,128,ReduceLROnPlateau,0.05,0.31781964019790754,0.25148928978835733,0.5014870783862305,0.9321406534850932,31,12.993384039994547,0.2514958727618922,134.75042343139648,74
0.001,3,1,8,2,0.0003,0.2,256,256,32,OneCycleLR,0.3,0.265628505949924,0.2543799139217859,0.5043608965034719,0.931360676473429,32,12.747301574142037,0.255291885528518,277.56028270721436,72
5e-05,1,1,8,2,0.0001,0.2,256,256,128,ReduceLROnPlateau,0.1,0.29438312796947214,0.25899798728344875,0.5089184485587536,0.9301145818952302,35,2.7068363189776763,0.2602578649367171,92.07359886169434,68
1e-05,1,1,4,4,0.0001,0.15,256,96,32,ReduceLROnPlateau,0.1,0.31450516116452,0.25904197083741815,0.5089616594964872,0.9301027138143577,33,3.04529048978349,0.2593004409564489,219.20327997207642,98
1e-05,3,4,4,8,0.0001,0.3,256,64,128,OneCycleLR,0.1,0.2835754829143298,0.2592165418710176,0.5091331278467525,0.9300556093182957,34,2.290157934512134,0.2649476064556185,201.13150358200073,11
1e-06,2,3,4,4,0.0001,0.2,128,64,32,ReduceLROnPlateau,0.3,0.2862880530062554,0.2600145216833099,0.5099161908424853,0.9298402904526699,33,2.902153709743591,0.26213896664186215,290.30883979797363,59
0.0001,2,3,2,8,0.0003,0.2,256,128,32,OneCycleLR,0.2,0.31035146080460707,0.2603728346254503,0.5102674148183972,0.9297436068836721,31,14.915862691289423,0.26037821794735794,285.5634641647339,60
0.001,1,3,8,8,0.0001,0.3,128,64,32,OneCycleLR,0.15,0.27687055258994875,0.26070909327209246,0.5105968010789849,0.9296528742244788,34,2.7672964771021493,0.2683308857134257,289.9195008277893,23
5e-05,1,3,2,4,0.0003,0.1,512,192,128,OneCycleLR,0.1,0.30238236344619646,0.2623152331227643,0.5121671925482579,0.9292194895631684,31,12.216860680063293,0.2648550225787613,156.46419668197632,66
0.0001,3,2,8,4,0.0001,0.5,1024,64,64,OneCycleLR,0.05,0.26203156628124363,0.2654440859260375,0.5152126608751356,0.9283752313176179,33,1.9538749209697053,0.2828700849208339,167.03539395332336,80
0.0001,3,2,2,8,0.0003,0.15,1024,256,64,ReduceLROnPlateau,0.3,0.35750390340162175,0.2679945063596659,0.5176818582485443,0.9276870514587064,31,20.558406166813437,0.2679858164898102,212.41667580604553,22
1e-05,2,4,2,8,0.0001,0.5,1024,64,128,OneCycleLR,0.15,0.2665214656758791,0.2699480424597314,0.5195652436987404,0.9271599288792308,38,1.7322164698044586,0.2781001430937554,236.91182041168213,3
1e-05,3,2,2,4,0.002,0.2,512,64,64,ReduceLROnPlateau,0.05,0.28032655500975145,0.2711632956969301,0.520733420952535,0.9268320171395467,33,4.948242182437331,0.2711201590062796,163.5890805721283,41
0.0001,1,3,8,2,0.0003,0.4,256,64,64,ReduceLROnPlateau,0.1,0.268898215450304,0.2714823913429063,0.5210397214636387,0.9267459155722397,33,3.325066345401826,0.28258098052448777,150.19601726531982,67
0.001,2,2,8,4,0.001,0.15,128,64,64,OneCycleLR,0.3,0.27614323664506873,0.2748331496529856,0.524245314383434,0.9258417805713308,32,13.214596315451438,0.27513163460158874,153.85558795928955,35
