iteration,n_categories,n_features,rmse,mae,r2,total_params,training_time,toggle_EMG_BW,toggle_EMG_HjComp,toggle_EMG_HjMob,toggle_EMG_IEMG,toggle_EMG_Kurt,toggle_EMG_LogDet,toggle_EMG_MAV,toggle_EMG_MDF,toggle_EMG_MNF,toggle_EMG_Myopulse,toggle_EMG_PeakFreq,toggle_EMG_Power,toggle_EMG_RMS,toggle_EMG_SSC,toggle_EMG_Skew,toggle_EMG_SpecEntropy,toggle_EMG_VAR,toggle_EMG_WAMP,toggle_EMG_WL,toggle_EMG_ZC,toggle_IMU_DomFreq,toggle_IMU_Jerk,toggle_IMU_Kurt,toggle_IMU_MNF,toggle_IMU_Max,toggle_IMU_Mean,toggle_IMU_P2P,toggle_IMU_SMA,toggle_IMU_SVM_Mean,toggle_IMU_Skew,toggle_IMU_SpecEnergy,toggle_IMU_Std,toggle_IMU_Var
24,17,164,0.3634,0.1945,0.9645,1017538,1581.4,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1
47,15,140,0.3637,0.187,0.9644,1015234,1566.7,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1
11,14,132,0.3643,0.1724,0.9643,1014466,1571.7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0
39,12,92,0.3646,0.1722,0.9643,1010626,1571.6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0
48,17,148,0.3654,0.1751,0.9641,1016002,1564.0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0
50,21,184,0.3655,0.1714,0.9641,1019458,1565.6,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1
35,21,192,0.3663,0.1687,0.9639,1020226,1566.5,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
19,11,108,0.3673,0.1704,0.9637,1012162,1568.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0
23,18,168,0.3677,0.1762,0.9637,1017922,1566.2,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1
26,12,92,0.3681,0.1689,0.9636,1010626,1586.2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
6,18,156,0.3682,0.1784,0.9636,1016770,1576.1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1
3,17,156,0.3692,0.1724,0.9634,1016770,1606.0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0
42,17,156,0.3696,0.1761,0.9633,1016770,1569.9,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0
51,16,144,0.3725,0.1671,0.9627,1015618,1571.6,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1
27,13,96,0.3775,0.1745,0.9617,1011010,1593.9,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1
30,13,124,0.3784,0.1842,0.9615,1013698,1588.7,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
41,16,128,0.3803,0.1918,0.9611,1014082,1576.0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0
46,15,144,0.3818,0.1884,0.9608,1015618,1570.4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
7,19,160,0.3829,0.1759,0.9606,1017154,1597.7,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1
43,14,112,0.3899,0.1919,0.9591,1012546,1573.3,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0
2,16,148,0.3914,0.1921,0.9588,1016002,1629.9,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
18,11,88,0.4104,0.2124,0.9547,1010242,1578.7,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
38,16,136,0.5658,0.2758,0.9139,1014850,1583.9,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0
