stage,tag,feature_set,config_id,fidelity_epochs,rmse,mae,r2,n_features,total_params,training_time,epochs_trained,params_json
Stage B rung 1,config #36,ridge_positive_17,36,60,0.51135055567741,0.26141244216830073,0.9297215338496261,,1619714,692.6285557746887,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0002, ""dropout_rate"": 0.5, ""dim_feedforward"": 512, ""d_model"": 128, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #37,ridge_positive_17,37,60,0.41249080286195766,0.2026263547859539,0.9542687208425069,,768866,385.6247215270996,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0008, ""dropout_rate"": 0.35, ""dim_feedforward"": 512, ""d_model"": 96, ""batch_size"": 128, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #38,ridge_positive_17,38,60,0.4856186688482236,0.24474864081571052,0.9366165961531886,,2146050,734.8051931858063,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 4, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0001, ""dropout_rate"": 0.5, ""dim_feedforward"": 1024, ""d_model"": 128, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #39,ridge_positive_17,39,60,0.4091522319820015,0.2046161279201621,0.9550059942825472,,1777058,481.81866669654846,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 8, ""learning_rate"": 0.0001, ""dropout_rate"": 0.35, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #40,ridge_positive_17,40,60,0.3754470719183333,0.19933135394046028,0.9621136948280926,,2354370,753.3787798881531,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0005, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #41,ridge_positive_17,41,60,0.3677186624731353,0.18757421686028466,0.9636573866721934,,2354370,781.8750174045563,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 2, ""nhead_spatial"": 8, ""learning_rate"": 0.0008, ""dropout_rate"": 0.25, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #42,ridge_positive_17,42,60,0.45132283901930387,0.2347584277051458,0.9452531126061846,,1412418,727.0199913978577,60,"{""weight_decay"": 0.001, ""scheduler_pct_start"": 0.3, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0005, ""dropout_rate"": 0.5, ""dim_feedforward"": 1024, ""d_model"": 96, ""batch_size"": 64, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.8, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #43,ridge_positive_17,43,60,0.44962110109528053,0.2209040924299699,0.9456651866464153,,768866,372.6673867702484,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.4, ""num_layers_temporal"": 3, ""num_layers_spatial"": 3, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0003, ""dropout_rate"": 0.35, ""dim_feedforward"": 512, ""d_model"": 96, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.1, ""aug_channel_dropout"": 0.1}"
Stage B rung 1,config #44,ridge_positive_17,44,60,0.3256533613196846,0.15560866904402676,0.9714966477261702,,1619714,507.97014904022217,60,"{""weight_decay"": 0.005, ""scheduler_pct_start"": 0.1, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 2, ""nhead_spatial"": 4, ""learning_rate"": 0.0002, ""dropout_rate"": 0.2, ""dim_feedforward"": 512, ""d_model"": 128, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #45,ridge_positive_17,45,60,0.34343597294422284,0.15658256047106106,0.9682987508088,,1412418,671.7845540046692,60,"{""weight_decay"": 0.0001, ""scheduler_pct_start"": 0.05, ""num_layers_temporal"": 3, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 4, ""learning_rate"": 0.0003, ""dropout_rate"": 0.2, ""dim_feedforward"": 1024, ""d_model"": 96, ""batch_size"": 64, ""aug_stretch_range"": [0.9, 1.1], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.25}"
Stage B rung 1,config #46,ridge_positive_17,46,60,0.4081897793939718,0.205267236572165,0.9552174249480297,,2354370,632.2254157066345,60,"{""weight_decay"": 1e-05, ""scheduler_pct_start"": 0.2, ""num_layers_temporal"": 4, ""num_layers_spatial"": 4, ""nhead_temporal"": 4, ""nhead_spatial"": 8, ""learning_rate"": 0.0003, ""dropout_rate"": 0.35, ""dim_feedforward"": 512, ""d_model"": 160, ""batch_size"": 128, ""aug_stretch_range"": [0.75, 1.25], ""aug_p"": 0.5, ""aug_noise_std"": 0.05, ""aug_channel_dropout"": 0.1}"
