weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.001,4,2,4,8,0.0005,0.5,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2867797417633979,0.2757316612363641,0.5251015723042202,0.9258557089607024,1638146,23,,0.29232207146338385,266.398068189621,91
0.01,2,2,4,8,0.0003,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2931481565067018,0.27645717482494236,0.5257919501332655,0.92566061823219,1108482,22,3.4261850421463476,0.30789379692131297,130.1909945011139,82
0.001,4,4,4,8,0.0005,0.4,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29166744985056386,0.27724939279479127,0.5265447680822508,0.9254475906841034,1638146,34,,0.27726009659810075,401.26786184310913,37
0.005,3,4,4,8,0.0005,0.4,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28098152131695137,0.27923857005487734,0.528430288737197,0.9249127005773987,1638146,30,,0.2823557512615287,262.9464292526245,168
0.001,4,4,4,8,0.0005,0.4,2048,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2852200653788432,0.28064108761748796,0.5297556867250109,0.9245355633640528,4349634,29,,0.28889133004836365,358.5256657600403,32
0.005,3,4,4,8,0.0003,0.5,512,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2993919192984063,0.28313298218842575,0.5321024170105091,0.9238654924861623,3248770,22,,0.2980803504189377,250.01795148849487,27
0.001,3,2,4,8,0.0005,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28821270974585195,0.2834714788558599,0.532420396731624,0.9237744706741821,1636482,21,,0.3213995534923858,176.5235300064087,47
0.001,4,4,2,8,0.001,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2930825473604261,0.2847881347868565,0.5336554457577065,0.9234204216683164,2164482,26,,0.3003281406135999,260.2902674674988,48
0.001,3,2,2,8,0.0005,0.4,512,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.31048315293162454,0.2854924475441415,0.5343149329226552,0.9232310318469782,4071170,28,,0.2856329204619423,323.16141724586487,63
0.001,4,4,2,8,0.0005,0.4,1024,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3270846312386106,0.28591967391621675,0.5347145723806457,0.9231161506021883,6438402,24,5.6791974047969145,0.2859795443529217,315.5695071220398,205
0.005,3,4,2,8,0.0003,0.5,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2830081052649249,0.2863444314967648,0.5351116065801271,0.9230019332158639,1638146,32,,0.32940896489760163,354.0425081253052,107
0.005,3,2,2,8,0.0005,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2873768236034138,0.2864333012992333,0.5351946387056146,0.9229780361107245,1636482,24,,0.3074376005173534,237.11799025535583,194
0.005,2,2,2,8,0.001,0.4,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3214345007560258,0.28763465367997126,0.5363158152431935,0.9226549922493167,1551490,21,,0.29231423349731056,136.1190128326416,105
0.001,2,2,4,8,0.0003,0.4,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29718248482148,0.2881296875882839,0.5367771302768812,0.9225218775463926,2208898,37,,0.30342517288685383,330.8741111755371,53
0.001,4,2,4,8,0.0003,0.5,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2835625865464137,0.2893593900887674,0.5379213605061314,0.9221912103329185,4349634,39,4.710413355290507,0.2955160539275886,549.2044157981873,193
0.01,3,3,2,8,0.0003,0.5,2048,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28344818940988425,0.2904836371872722,0.5389653395045662,0.9218889000951392,4231874,22,,0.6804706978645882,265.75973439216614,221
0.001,2,4,4,8,0.0003,0.5,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28799716811860226,0.2909963220264672,0.5394407493195774,0.9217510390538709,4349634,45,4.721996467550883,0.302981209653218,661.6558961868286,5
0.001,4,3,4,8,0.0003,0.4,1024,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3009924274244124,0.2914639174406212,0.5398739829262207,0.9216253025667362,4037250,29,,0.293638438337384,394.5834221839905,211
0.01,4,4,2,8,0.0005,0.4,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29372244487750915,0.2937505087002005,0.5419875540085772,0.9210104377845129,3034818,26,4.548346356320834,0.33911758994617947,276.43804717063904,176
0.001,4,3,4,8,0.0003,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28993387197447695,0.2939944000983668,0.5422125045573616,0.9209448553456789,2164482,27,,0.2977553392666136,333.96042013168335,12
0.01,2,4,2,8,0.0005,0.4,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2963508997894516,0.2970265717441151,0.5450014419651705,0.9201295038696264,3034818,23,,0.36993778289504636,246.63773131370544,143
0.01,4,4,4,8,0.0005,0.4,1024,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3359317147268537,0.29732155064924504,0.5452719969421179,0.9200501839914002,4037250,21,,0.2973539192958917,294.9075469970703,159
0.001,2,4,4,8,0.0005,0.4,2048,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2969058668831641,0.29795689971985945,0.5458542843285737,0.9198793385172462,3217154,43,5.27302894106243,0.2979481321524071,551.104864358902,127
0.01,2,3,2,8,0.0005,0.5,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29504332313247844,0.29851355573244853,0.546363940732227,0.9197296536199039,1636482,21,,0.38265859296088456,216.62962293624878,97
0.01,2,3,2,8,0.0005,0.4,1024,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30796973853601345,0.299389495072945,0.5471649614814028,0.9194941133808783,3049154,24,4.034087027327787,0.3198409869993037,220.19671726226807,18
0.005,3,4,2,8,0.001,0.4,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.317962276127561,0.3017309193987907,0.5493003908598562,0.9188645039777232,1638146,21,,0.3020244568563992,241.5503396987915,214
0.01,2,3,2,8,0.001,0.5,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3037335741661785,0.30239894318232907,0.5499081224916841,0.9186848722676549,1636482,24,4.1133810242366255,0.31206764430143025,186.29842591285706,70
0.001,3,2,4,8,0.0003,0.4,2048,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2933039081929194,0.3026492391004904,0.5501356551801477,0.918617567652295,4231874,38,,0.30910240278844087,441.5919942855835,131
0.01,4,2,4,8,0.0005,0.5,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2991524457053323,0.30350672923275485,0.550914448197499,0.91838698840853,1638146,35,,0.31260617158619514,300.86627650260925,207
0.001,2,3,2,8,0.0003,0.4,2048,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.31527183487812377,0.3035742774040301,0.5509757502867346,0.9183688246936785,2425986,54,6.821523209875277,0.3039194581344086,583.8775157928467,34
0.001,3,4,4,8,0.0003,0.4,2048,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.28867073107246427,0.30399019483449397,0.5513530582435305,0.9182569844252293,3217154,32,4.5097039498030655,0.3050905889069238,435.337363243103,43
0.01,3,2,4,8,0.0003,0.5,2048,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29316537975442203,0.3044483830088669,0.551768414290694,0.9181337775464866,4231874,22,,0.6172309652362117,268.7119138240814,171
0.005,4,3,2,8,0.0005,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29468357049088595,0.3048705745583399,0.5521508621367351,0.9180202501663588,2164482,25,,0.3606699741834639,305.34620213508606,101
0.001,3,2,2,8,0.0005,0.4,512,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3018626897903152,0.30535186719758395,0.5525865246254056,0.9178908304930461,2457794,22,,0.35119076950806744,190.21517205238342,212
0.001,4,4,4,8,0.0003,0.5,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2916063150476891,0.30537331826425285,0.5526059339748831,0.9178850622975364,2164482,30,4.337575268621624,0.308967648437617,369.1611359119415,62
0.01,3,2,2,8,0.001,0.4,512,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.31434044092303365,0.3060298256693698,0.5531996255144881,0.9177085273436026,2457794,21,,0.318606017986054,184.13537907600403,199
0.01,2,2,4,8,0.001,0.5,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2944841037469078,0.3065308404087263,0.5536522739127206,0.9175738043941841,845314,23,,0.522962609266573,125.89005994796753,188
0.001,4,4,2,8,0.0005,0.4,2048,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2998127579749167,0.306710843909756,0.5538148101213581,0.9175254014218575,4349634,27,5.007074205719405,0.3111764103151852,319.18150639533997,224
0.01,3,4,4,8,0.0003,0.4,2048,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3027376916556321,0.3076463020914113,0.5546587257867772,0.9172738565562271,8539650,21,,0.32585663052257613,347.84305238723755,248
0.005,2,4,2,8,0.0005,0.5,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29252024161976614,0.3091525394210297,0.5560148733811261,0.9168688290797279,1638146,27,,0.3540158791955217,315.51440930366516,177
0.005,2,3,4,8,0.0003,0.4,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30399443295718764,0.3093693767824861,0.5562098316125723,0.9168105214760094,3279266,26,4.877773900932015,0.3271127398310974,299.5503160953522,215
0.01,4,2,4,8,0.0003,0.5,2048,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2945577945957395,0.3098251828067648,0.5566194236700376,0.916687955157836,5614210,72,,0.34118090084651226,883.6188364028931,178
0.01,3,3,2,8,0.0005,0.4,2048,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.286399372014855,0.309827137156083,0.556621179219838,0.9166874296329688,6435074,26,,0.32141809820296036,334.3916685581207,123
0.01,2,2,4,8,0.0005,0.4,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29471377462008097,0.30989140668910997,0.5566789080691938,0.9166701475445052,845314,36,,0.3203526244607083,248.94624996185303,109
0.001,2,4,2,8,0.0005,0.4,1024,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3023182995439202,0.30996611662779583,0.5567460072850059,0.9166500580291677,4037250,26,,0.3100445688821638,355.9188470840454,156
0.001,2,3,2,8,0.0005,0.5,2048,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2876292349527138,0.31032028424839897,0.5570639857757805,0.91655482229519,2425986,31,4.521026795862099,0.36547980990431317,269.50573205947876,50
0.01,4,2,2,8,0.0003,0.5,512,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29667874796981436,0.31231228606783223,0.5588490727091101,0.916019172663992,2377410,41,,0.3270117087263142,409.1083655357361,4
0.01,2,2,2,8,0.001,0.4,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3279741446046299,0.3134933795040391,0.5599047950357624,0.9157015764362464,845314,22,,0.3232938053124128,166.6611030101776,163
0.005,4,2,2,8,0.0005,0.5,512,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2964288361650757,0.3140569160318095,0.5604078122508728,0.9155500413671906,2377410,36,5.356457316597962,0.31548973591152835,363.2356188297272,30
0.001,2,4,4,8,0.0005,0.5,512,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30259305153707766,0.31421420451634324,0.5605481286351273,0.915507746466699,2377410,29,,0.325298052241457,374.77156257629395,3
0.001,4,4,2,8,0.0003,0.6,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2928897039425368,0.3153377865700518,0.5615494515802253,0.9152056150595796,1638146,32,3.3103018106960906,0.3455010801218366,363.2552614212036,80
0.01,3,4,4,8,0.0005,0.5,512,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3234979756477178,0.31664231672023113,0.5627097979600418,0.9148548266782572,5387778,21,,0.35217142456224426,263.169983625412,190
0.01,3,2,4,8,0.0003,0.4,1024,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30984403266932675,0.31795429796817093,0.5638743636380101,0.914502034695468,2293154,36,6.218295933163778,0.32301768924361857,388.3140835762024,19
0.001,3,2,4,8,0.0005,0.4,1024,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30772508755916506,0.318123237576716,0.5640241462709873,0.9144566068057296,3049154,22,,0.39708234734850006,203.86267924308777,113
0.01,3,4,4,8,0.0005,0.6,512,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2984381092951339,0.31938851874983476,0.5651446883319658,0.9141163724810764,2377410,25,,0.538845158495227,263.6042685508728,39
0.005,4,2,2,8,0.001,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3247243779276156,0.32031081613599227,0.5659600835182569,0.9138683665556147,2164482,21,,0.3392768811571446,264.0055525302887,35
